"units","param","class1","class2","xLabel","aggregate","classLabel1","classPalette1","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Nuclear","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Oil","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Solar","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Wind","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","h Bioenergy w/CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Coal CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2010 USD)","elecNewCapCost","Gas CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Nuclear","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Oil","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Solar","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Wind","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","h Bioenergy w/CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Coal CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Gas CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Nuclear","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Oil","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Solar","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Wind","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","h Bioenergy w/CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Coal CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire Cost (billion 2010 USD)","elecAnnualRetPrematureCost","Gas CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecAnnualRetPrematureGW","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecAnnualRetPrematureGW","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecAnnualRetPrematureGW","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecAnnualRetPrematureGW","Geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecAnnualRetPrematureGW","Hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
